Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card,Coffee Type,Roast Type,Size,Unit Price,Price per 100g,Profit,Month,Year,Day,Cost,Profit Margin %,Total Sales,Total Profit,Size Category
QEV-37451-860,2019-09-05,17670-51384-MA,R-M-1,2,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Rob,M,1.0,9.95,0.9949999999999999,0.597,September,2019,Thursday,9.353,6.000000000000001,19.9,1.194,Large
QEV-37451-860,2019-09-05,17670-51384-MA,E-M-0.5,5,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,Exc,M,0.5,8.25,1.65,0.9075,September,2019,Thursday,7.3425,11.0,41.25,4.5375,Medium
FAA-43335-268,2021-06-17,21125-22134-PX,A-L-1,1,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,United States,78205,Yes,Ara,L,1.0,12.95,1.295,1.1655,June,2021,Thursday,11.7845,9.0,12.95,1.1655,Large
KAC-83089-793,2021-07-15,23806-46781-OU,E-M-1,2,Christoffer O' Shea,Missing,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Exc,M,1.0,13.75,1.375,1.5125,July,2021,Thursday,12.2375,11.0,27.5,3.025,Large
KAC-83089-793,2021-07-15,23806-46781-OU,R-L-2.5,2,Christoffer O' Shea,Missing,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,Rob,L,2.5,27.484999999999996,1.0994,1.6490999999999998,July,2021,Thursday,25.835899999999995,6.000000000000001,54.96999999999999,3.2981999999999996,Large
CVP-18956-553,2021-08-04,86561-91660-RB,L-D-1,3,Beryle Cottier,Missing,+1 (570) 289-7473,2651 Stoughton Place,Scranton,United States,18505,No,Lib,D,1.0,12.95,1.295,1.6835,August,2021,Wednesday,11.266499999999999,13.0,38.849999999999994,5.0504999999999995,Large
IPP-31994-879,2022-01-21,65223-29612-CB,E-D-0.5,3,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,United States,45440,Yes,Exc,D,0.5,7.29,1.458,0.8019000000000001,January,2022,Friday,6.4881,11.0,21.87,2.4057000000000004,Medium
SNZ-65340-705,2022-05-20,21134-81676-FR,L-L-0.2,1,Melvin Wharfe,Missing,+353 (507) 574-3034,7 Straubel Road,Kill,Ireland,P24,Yes,Lib,L,0.2,4.755,2.3775,0.61815,May,2022,Friday,4.13685,13.0,4.755,0.61815,Small
EZT-46571-659,2019-01-02,03396-68805-ZC,R-M-0.5,3,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No,Rob,M,0.5,5.97,1.194,0.35819999999999996,January,2019,Wednesday,5.6118,6.0,17.91,1.0745999999999998,Medium
NWQ-70061-912,2019-09-05,61021-27840-ZN,R-M-0.5,1,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,United States,90065,No,Rob,M,0.5,5.97,1.194,0.35819999999999996,September,2019,Thursday,5.6118,6.0,5.97,0.35819999999999996,Medium
BKK-47233-845,2021-03-08,76239-90137-UQ,A-D-1,4,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,United States,95160,No,Ara,D,1.0,9.95,0.9949999999999999,0.8954999999999999,March,2021,Monday,9.054499999999999,9.0,39.8,3.5819999999999994,Large
VQR-01002-970,2020-10-28,49315-21985-BB,E-L-2.5,5,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,United States,95194,Yes,Exc,L,2.5,34.154999999999994,1.3661999999999999,3.7570499999999996,October,2020,Wednesday,30.397949999999994,11.0,170.77499999999998,18.785249999999998,Large
SZW-48378-399,2022-07-02,34136-36674-OM,R-M-1,5,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,United States,23285,No,Rob,M,1.0,9.95,0.9949999999999999,0.597,July,2022,Saturday,9.353,6.000000000000001,49.75,2.985,Large
ITA-87418-783,2020-05-22,39396-12890-PE,R-D-2.5,2,Terence Vanyutin,tvanyutind@wix.com,Missing,331 Bunting Hill,Migrate,United States,41905,No,Rob,D,2.5,20.584999999999997,0.8233999999999999,1.2350999999999999,May,2020,Friday,19.349899999999998,6.000000000000001,41.169999999999995,2.4701999999999997,Large
GNZ-46006-527,2022-04-05,95875-73336-RG,L-D-0.2,3,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,United States,63131,Yes,Lib,D,0.2,3.885,1.9425,0.50505,April,2022,Tuesday,3.37995,13.0,11.655,1.51515,Small
